graph_index,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger constant,treewidth,algebraic_connectivity
SCION_20230101_small_dre_70.txt,1946,36945,37.97019527235354,2,74.83790043750584,5.969738850310895,-0.4033124420643426,0.19188916910576645,0.40391750777300994,2.6315789473684212,256,0.0
SCION_20230101_100.txt,1984,52779,53.20463709677419,1,106.26682247598491,6.369763008470058,-0.4016694719973709,0.27752569298242785,0.5925181689537002,3.5100755667506296,283,0.3232960916334118
SCION_20230101_small_dre_60.txt,1929,31667,32.83255572835666,4,64.2862189336889,5.78530180573375,-0.40468945988569854,0.16433942965706377,0.33131206453132855,2.283678756476684,251,0.0
SCION_20230101_small_dre_10.txt,1386,5278,7.616161616161616,27,12.188094100065934,3.9227116820303967,-0.36342553154843604,0.029376564030029376,0.04802634910079136,0.9153153153153153,153,0.0
SCION_20230101_small_dre_30.txt,1777,15834,17.82104670793472,10,33.6414031028891,4.9770847122162305,-0.3990762808593653,0.08378023726726729,0.16282062969383826,1.4261603375527425,199,0.0
SCION_20230101_small_dre_20.txt,1629,10556,12.960098219766728,20,23.031171744753497,4.595358298024237,-0.39373080796857957,0.057093983413638076,0.10412723820653122,1.2039877300613497,179,0.0
SCION_20230101_small_dre_50.txt,1886,26390,27.985153764581124,5,54.35680783449492,5.586205305586698,-0.3987303079123197,0.13889466139375742,0.2936284478639575,2.037086092715232,234,0.0
SCION_20230101_small_dre_90.txt,1980,47501,47.98080808080808,1,95.86854760321043,6.250437076296882,-0.4019402632534817,0.25053700161316717,0.5308626877786726,3.1603535353535355,277,0.3222815416624862
SCION_20230101_small_dre_80.txt,1964,42223,42.996945010183296,2,85.39883064655756,6.110088876276574,-0.40557675317079955,0.2234584200156599,0.4626897876639493,2.8702290076335877,264,0.0
SCION_20230101_small_dre_40.txt,1836,21112,22.99782135076253,7,43.93037663048416,5.313005813899307,-0.40953158814977164,0.11156791944351771,0.23292620730483782,1.720708446866485,220,0.0
