graph_index,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger constant,n_spanning_trees,treewidth,natural connectivity,spectral gap,spectral radius,effective graph resistance,algebaric connectivity
CAIDA_20250901_crve_10_8.txt,7864,55219,14.043489318413021,1,65.37890105208928,3.3937727323130473,-0.4554613871535717,0.2006375008615185,0.5726148019340779,1.0677050222504767,inf,178,186.90367659983679,139.23645309877892,195.8737272616638,-286709197299.4217,0.16824645221800894
CAIDA_20250901_crve_10_9.txt,7864,55271,14.056714140386571,1,65.56744904717655,3.3696489389163045,-0.47152837978181283,0.20369102334258746,0.5698177284231503,1.0410044500953592,inf,165,188.71673927573346,141.02537071247838,197.68678993756046,515110432841.07947,0.09395459370986614
CAIDA_20250901_crve_10_4.txt,7864,53318,13.560020345879959,1,64.40577792963815,3.379846077381236,-0.49411938674368994,0.1798294595748733,0.5778396517932097,1.0568976478067387,inf,156,178.7352847788087,127.419112886927,187.7053354406357,246105127346.92676,0.07972903151127378
CAIDA_20250901_crve_10_5.txt,7864,55818,14.195829094608342,1,66.57923329464705,3.3862310902833355,-0.4718950603727871,0.19519878333037546,0.5736131083949754,1.0642085187539734,inf,177,187.91384016690574,138.02385502259315,196.88389082873275,-64905178349.21627,0.20770818449124162
CAIDA_20250901_crve_10_7.txt,7864,51959,13.214394710071211,1,63.59545429536955,3.3526090623354103,-0.4765550833540117,0.1811145047483071,0.5799632097233995,1.073108709472346,inf,148,177.78848658204058,129.34173315051603,186.75853724386758,-190895202922.44247,0.14119229848399123
CAIDA_20250901_crve_10_6.txt,7864,53031,13.48702950152594,1,64.90333672181873,3.353496173589764,-0.47735734742037,0.18259401773855846,0.5751690299031081,1.0594405594405594,inf,157,180.5146179268352,127.42316409844756,189.4846685886622,190895202924.49634,0.10154175975645344
CAIDA_20250901_crve_10_2.txt,7864,56948,14.48321464903357,1,66.35398975418727,3.4400074234513083,-0.4452995341851678,0.2104505146501167,0.5772339119025399,1.0708836617927526,inf,184,191.5536299302919,141.28563568538993,200.5236805921189,-147807521260.89395,0.10785013001404037
CAIDA_20250901_crve_10_3.txt,7864,56269,14.310528992878941,1,66.65884249544905,3.4194973340032546,-0.4799444375749766,0.20022344156206245,0.5895304487882769,1.0899554990464082,inf,171,189.40063179638005,136.45327475332246,198.37068245820706,94953054304.93172,0.06749527187316919
CAIDA_20250901_crve_10_1.txt,7864,55347,14.076042726347914,1,65.13918555850258,3.3838543225244098,-0.4657066316464476,0.2097204779372186,0.5768227213004082,1.0702479338842976,inf,174,188.75279650690902,139.75033174116226,197.72284716873602,-286244977312.6845,0.3106861366698598
CAIDA_20250901_crve_10_0.txt,7864,53468,13.598168870803661,1,63.93838253859767,3.3561882756266077,-0.47390980467542404,0.19909662448350776,0.5697411421345646,1.0454545454545454,inf,165,183.6510101216327,138.26033056403963,192.6210607834597,-347644899627.978,0.1703824934670104
