graph_index,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity
20251201_crve_60_1.txt,47263,414138,17.524829147536128,1,116.29174711260208,3.3744363941420183,-0.2630770059338231
20251201_crve_60_0.txt,47263,414562,17.54277130101771,1,115.98974614524143,3.3648687976033735,-0.2676721324652545
20251201_crve_60_2.txt,47263,415006,17.561559782493706,1,117.39940406912086,3.3737390992297573,-0.2696177403269677
20251201_crve_60_3.txt,47263,412771,17.466982629117915,1,116.98585599397266,3.3764480128315886,-0.2689352694807365
20251201_crve_60_7.txt,47263,419140,17.736495778939126,1,117.97148339819347,3.3892473317211906,-0.2682249658000229
20251201_crve_60_6.txt,47263,413910,17.515181008399804,1,116.64158737052027,3.3712070250626898,-0.26727758440988975
20251201_crve_60_4.txt,47263,407351,17.237627742631656,1,116.93200628915139,3.3838684789939104,-0.2749180175170139
20251201_crve_60_5.txt,47263,421599,17.840551805852357,1,118.21318861639277,3.3823547884389633,-0.2635708724276541
20251201_crve_60_8.txt,47263,402468,17.03099676279542,1,115.61744320883287,3.359321166169293,-0.2693905143354009
20251201_crve_60_9.txt,47263,412106,17.43884222330364,1,116.10005346439385,3.3535980817066413,-0.26473871064989696
