graph_index,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger constant,natural connectivity,spectral gap,spectral radius,effective graph resistance,min effective graph resistance,max effective graph resistance,normalized effective graph resistance,algebaric connectivity
SCION_20230101_conn_0.9_9.txt,1984,47501,47.88407258064516,1,95.34809775930148,6.257665465404921,-0.3987120971677723,0.24737927912947053,0.5248889948896526,3.1750629722921913,175.7317813420241,126.10079117909213,183.32465162986892,214816.6958825564,6299.951479045855,12492803.782947931,0.016699369752964797,0.3149230603757733
SCION_20230101_conn_0.9_8.txt,1984,47501,47.88407258064516,1,95.38974417988766,6.260765736581306,-0.39914769639016745,0.24839662503498927,0.5246604500841512,3.2052896725440805,175.80019484603076,125.83773515117633,183.39306513387558,204278.7161918049,7111.337001226075,14101781.273431307,0.013988790094400586,0.27899113762404115
SCION_20230101_conn_0.9_6.txt,1984,47501,47.88407258064516,1,95.33885697627761,6.245715596516984,-0.39699634195677197,0.2491584267342546,0.5225903330175123,3.1964735516372795,175.994025497443,126.184892811076,183.58689578528782,200904.99526427675,7110.923356481894,14100961.015903596,0.013750257781603195,0.2790073666300318
SCION_20230101_conn_0.9_7.txt,1984,47501,47.88407258064516,1,95.22651088509738,6.248004996296558,-0.3989534738269119,0.24929125057116971,0.5222079385390322,3.2153652392947105,175.98702489878823,126.33613008776867,183.57989518663305,206684.34205076442,8967.77335211348,17783094.55724103,0.011123841474894173,0.22123663501513682
SCION_20230101_conn_0.9_5.txt,1984,47501,47.88407258064516,1,95.1638584123732,6.259155941004004,-0.3971838408844207,0.24955651945172985,0.5266614175329348,3.1826196473551636,175.82009060072346,125.65829659605404,183.41296088856828,210891.21068212166,6302.627403473914,12498110.14108877,0.016377820668026816,0.31478935259705326
SCION_20230101_conn_0.9_4.txt,1984,47501,47.88407258064516,1,95.24886052757368,6.263358772985468,-0.40164664730373784,0.2472459889975841,0.5242013201223628,3.2241813602015115,175.53940574675048,125.19633261849589,183.1322760345953,208415.3361390301,7300.348859505253,14476591.788398918,0.013899435789229411,0.2717678344120196
SCION_20230101_conn_0.9_0.txt,1984,47501,47.88407258064516,1,95.36705759189945,6.252315966873556,-0.39758766237182463,0.24860716229669477,0.5271250543786168,3.2103274559193955,175.81013957739353,126.43187783591102,183.40300986523835,205735.46858511656,7598.984674099176,15068786.608738666,0.013155435604190836,0.26108751169908023
SCION_20230101_conn_0.9_1.txt,1984,47501,47.88407258064516,1,95.38475602422633,6.251237404313144,-0.3959597138317869,0.2506878912128552,0.524738872072133,3.216624685138539,176.4897427696744,127.02653564171442,184.0826130575192,210779.327087536,7170.478417305129,14219058.701516071,0.014326657054570887,0.27669004556402305
SCION_20230101_conn_0.9_3.txt,1984,47501,47.88407258064516,1,95.38621445265366,6.2533025401169935,-0.39613963644910954,0.24965373007314992,0.5232925925274376,3.1926952141057936,176.1795178355723,126.39149714287298,183.77238812341713,210310.85666435398,7390.5277325979305,14655416.493741695,0.013853083644351456,0.26845173603084244
SCION_20230101_conn_0.9_2.txt,1984,47501,47.88407258064516,1,95.26475029906454,6.265784963630931,-0.397269339860733,0.24861391243484973,0.5191352290516058,3.1801007556675063,175.95211119626077,126.45431936843602,183.5449814841056,213609.52840239368,6148.80195815851,12193074.283028325,0.017023221054931526,0.32266448220332394
