graph_index,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger constant,treewidth,natural connectivity,spectral gap,spectral radius,effective graph resistance,min effective graph resistance,max effective graph resistance,normalized effective graph resistance,algebaric connectivity
SCION_20230101_conn_12.45_5.txt,1984,12351,12.450604838709678,1,22.50908373169867,4.580401112771627,-0.30423252722412875,0.05570685928649508,0.091578401471015,1.1624685138539044,210,36.379806952101916,27.182781517643733,43.97267723994415,314565.86050702544,37225.66668674511,73818497.03981555,0.003758951135684656,0.053296560611149624
SCION_20230101_conn_12.45_4.txt,1984,12351,12.450604838709678,1,22.416344924975178,4.581764093640414,-0.2984628254361653,0.05683084361750839,0.09170063383676545,1.102015113350126,225,36.53876516302649,26.575542413020386,44.13163545086768,431334.02537927503,56502.78603156339,112045024.7005902,0.003347050509637838,0.03511331309241719
SCION_20230101_conn_12.45_6.txt,1984,12351,12.450604838709678,1,22.24940148789747,4.596806997737037,-0.30509604973568455,0.05522354079512792,0.08459185221945771,1.128463476070529,226,36.262477547443815,26.849605374526835,43.85534783528548,394564.0988006658,40282.91177185517,79881014.04358882,0.004437348982236807,0.04925165324759612
SCION_20230101_conn_12.45_7.txt,1984,12351,12.450604838709678,1,22.309737215713014,4.60458104517638,-0.2916395746696738,0.05549231779258749,0.08937243996124564,1.1385390428211586,221,36.1002347252091,26.203582861732507,43.69310501304827,341498.053858825,31786.076434363134,63031789.56934209,0.004916062861160443,0.062417266392449225
SCION_20230101_conn_12.45_3.txt,1984,12351,12.450604838709678,1,22.402084878248154,4.595578725361229,-0.29327690157992387,0.05657278280525291,0.0886095432283859,1.1335012594458438,220,36.58686756808951,27.013742428778755,44.179737855931734,366687.29623220704,59769.240242870634,118522403.40161248,0.0025908427426259415,0.03319433193411955
SCION_20230101_conn_12.45_2.txt,1984,12351,12.450604838709678,1,22.310979767427455,4.585952872863778,-0.2971206670988272,0.05678626752137828,0.09293037214376468,1.1246851385390428,217,36.43744908564549,26.88180534845966,44.030319373487245,363080.3953118124,21117.965457048464,41876925.5013271,0.008170011522575578,0.09394844426584967
SCION_20230101_conn_12.45_0.txt,1984,12351,12.450604838709678,1,22.247090685952823,4.584501313778702,-0.30785406709436675,0.057414611005692597,0.08160399231773424,1.1700251889168767,221,36.31863733928144,26.172203976053094,43.911507627120905,362181.7152868037,47015.830929505595,93232392.7332096,0.003382138859488656,0.04219855229748597
SCION_20230101_conn_12.45_1.txt,1984,12351,12.450604838709678,1,22.30178324539302,4.591652595203965,-0.31049523426288933,0.056817949109743436,0.08626201044355591,1.1385390428211586,225,36.3927637287355,27.87896975976014,43.985634016578445,322665.10410501057,20260.64565547609,40176860.334809095,0.007530629106806934,0.09792382907100147
SCION_20230101_conn_12.45_9.txt,1984,12351,12.450604838709678,1,22.289779130050352,4.606696743246847,-0.289492992439985,0.05569727220843594,0.08849111663447055,1.149874055415617,219,36.12472483800531,26.377285978203172,43.71759512584509,389398.93903230835,53552.57057219666,106194747.44466597,0.0031641472366925726,0.03704770807237912
SCION_20230101_conn_12.45_8.txt,1984,12351,12.450604838709678,1,22.35471867894596,4.59929422292635,-0.300813167476837,0.05490440421745176,0.08083800957391342,1.128463476070529,221,36.34298508050763,26.885937835396184,43.93585536834939,342852.70830359595,20769.15402492796,41185232.43143214,0.007824310792251748,0.09552627891943885
